,Classifier,Data set,Accuracy,Explainer,Stability,Attribution Discrepancy,Top-10 Presence,Top-10 Similarity,Time
26,Logistic Regression,Credit default,0.6933333333333334,"['fires', 'shap'][0.5, 0.5]Ensemble=False",4478.31867000869,7633.845226625106,8,22.758333333333336,2.426957355561899
27,Logistic Regression,Credit default,0.6933333333333334,['lime'][1.0]Ensemble=False,3125.35114417777,5192.010338261009,6,16.77777777777778,4.3434648617519995
28,Logistic Regression,Credit default,0.6933333333333334,['lime'][1.0]Ensemble=True,4624.492866684407,5584.526770863305,6,12.458333333333334,84.59992492010933
29,Logistic Regression,Credit default,0.6933333333333334,"['fires', 'lime'][0.5, 0.5]Ensemble=False",2016.9989734909295,5914.338978485196,7,25.976190476190478,6.003889472817536
30,Logistic Regression,Credit default,0.6933333333333334,['fires'][1.0]Ensemble=False,164.1294261686427,6659.011606645222,6,13.416666666666666,0.912789383699419
31,Logistic Regression,Credit default,0.6933333333333334,['custom'][1.0]Ensemble=False,250.03324273431295,4738.6125479615985,5,15.952380952380953,0.4133172905654646
32,Perceptron,RTG,0.78,['shap'][1.0]Ensemble=False,8220.680989704102,8057.427759005812,9,46.0,9.082339948415756
33,Perceptron,RTG,0.78,['shap'][1.0]Ensemble=True,7182.298475819185,7287.515453953867,7,30.833333333333336,163.6687357429706
34,Perceptron,RTG,0.78,"['fires', 'shap'][0.5, 0.5]Ensemble=False",5006.921711684389,7156.624990276322,8,35.333333333333336,9.71422362535959
35,Perceptron,RTG,0.78,['lime'][1.0]Ensemble=False,2494.6542298833474,4700.084884961021,6,27.5,7.513269956951262
36,Perceptron,RTG,0.78,['lime'][1.0]Ensemble=True,4292.741126950512,5939.94596609255,6,21.86904761904762,142.086750009784
37,Perceptron,RTG,0.78,"['fires', 'lime'][0.5, 0.5]Ensemble=False",1568.7408635027953,5558.551948130621,6,22.333333333333336,8.750549015740399
38,Perceptron,RTG,0.78,['fires'][1.0]Ensemble=False,175.8722618573437,7595.855125041838,8,30.333333333333336,0.9227018200617749
39,Perceptron,RTG,0.78,['custom'][1.0]Ensemble=False,121.2944277112025,3442.5594520439886,9,43.0,0.7835296972072683
40,Perceptron,RBF,1.0,['shap'][1.0]Ensemble=False,8346.917966625642,7666.922474024379,8,34.035714285714285,12.162489271326923
41,Perceptron,RBF,1.0,['shap'][1.0]Ensemble=True,6978.380324159204,6776.342657172974,5,6.535714285714286,230.4561293017294
42,Perceptron,RBF,1.0,"['fires', 'shap'][0.5, 0.5]Ensemble=False",5410.146320009426,6733.768093828598,6,10.654761904761905,10.614407773903803
43,Perceptron,RBF,1.0,['lime'][1.0]Ensemble=False,1262.872434765868,3334.436420505209,6,9.375,7.55707568321377
44,Perceptron,RBF,1.0,['lime'][1.0]Ensemble=True,1907.775511562229,2997.013512888238,5,7.057142857142857,141.93559508599574
45,Perceptron,RBF,1.0,"['fires', 'lime'][0.5, 0.5]Ensemble=False",952.8276927602698,4708.675042296542,4,7.5,8.780265156168024
46,Perceptron,RBF,1.0,['fires'][1.0]Ensemble=False,151.56271888696602,6329.942988014021,5,8.404761904761905,1.0494551997981034
47,Perceptron,RBF,1.0,['custom'][1.0]Ensemble=False,34.444163330509596,1932.8920970505892,6,6.833333333333333,0.8411948855849914
48,Perceptron,Spambase,0.8133333333333334,['shap'][1.0]Ensemble=False,7238.484291145701,8172.041471056625,7,24.816666666666666,3.2598383475301995
49,Perceptron,Spambase,0.8133333333333334,['shap'][1.0]Ensemble=True,5629.706403722423,7955.201174689281,5,20.15,64.89394987995426
50,Perceptron,Spambase,0.8133333333333334,"['fires', 'shap'][0.5, 0.5]Ensemble=False",4445.401602290598,7370.949656200968,7,12.777777777777777,4.052334039045188
51,Perceptron,Spambase,0.8133333333333334,['lime'][1.0]Ensemble=False,2347.1922319220266,4252.322720099238,6,18.91111111111111,6.077737223046522
52,Perceptron,Spambase,0.8133333333333334,['lime'][1.0]Ensemble=True,1987.5509074617917,4492.238702949399,4,6.55,99.46503171262641
53,Perceptron,Spambase,0.8133333333333334,"['fires', 'lime'][0.5, 0.5]Ensemble=False",1609.3200146145011,5052.71627329015,6,16.333333333333332,6.1342501430772245
54,Perceptron,Spambase,0.8133333333333334,['fires'][1.0]Ensemble=False,44.72450079312793,6411.65801138315,5,13.516666666666667,0.7975198609185301
55,Perceptron,Spambase,0.8133333333333334,['custom'][1.0]Ensemble=False,29.14294117663753,2609.715652189917,7,16.866666666666667,0.5511532768012128
56,Perceptron,Credit default,0.7066666666666667,['shap'][1.0]Ensemble=False,6434.8638869511105,8005.669771648043,6,23.23333333333333,1.7423133585834876
57,Perceptron,Credit default,0.7066666666666667,['shap'][1.0]Ensemble=True,7208.3793474627255,7962.6064950997015,6,18.616666666666667,30.034450636664406
58,Perceptron,Credit default,0.7066666666666667,"['fires', 'shap'][0.5, 0.5]Ensemble=False",4464.781048029444,7618.7072068323205,6,24.53333333333333,2.372141265089158
59,Perceptron,Credit default,0.7066666666666667,['lime'][1.0]Ensemble=False,2777.159669047477,5194.857097158462,6,18.933333333333334,4.188233596750069
60,Perceptron,Credit default,0.7066666666666667,['lime'][1.0]Ensemble=True,4688.1355227030535,5446.30568507838,7,27.5,80.65315150020179
61,Perceptron,Credit default,0.7066666666666667,"['fires', 'lime'][0.5, 0.5]Ensemble=False",1805.8570631582086,5891.187916036066,5,25.166666666666668,4.919391944317613
62,Perceptron,Credit default,0.7066666666666667,['fires'][1.0]Ensemble=False,173.14078393207495,6808.37916027459,5,25.166666666666668,0.6738210197188892
63,Perceptron,Credit default,0.7066666666666667,['custom'][1.0]Ensemble=False,250.03324273431295,4880.289229136138,4,14.625,0.36962249492062255
64,MLPClassifier,RTG,0.8133333333333334,['shap'][1.0]Ensemble=False,5013.386977028207,7215.305424449382,5,8.616666666666667,17.878521727619226
65,MLPClassifier,RTG,0.8133333333333334,['shap'][1.0]Ensemble=True,7139.583877369918,7349.941563280413,1,9.0,325.8983241772745
66,MLPClassifier,RTG,0.8133333333333334,"['fires', 'shap'][0.5, 0.5]Ensemble=False",3087.0979528226617,6415.789259396656,3,10.166666666666666,17.8466247132048
67,MLPClassifier,RTG,0.8133333333333334,['lime'][1.0]Ensemble=False,813.3421908668827,6141.5920643591735,3,11.833333333333332,11.558745032583829
68,MLPClassifier,RTG,0.8133333333333334,['lime'][1.0]Ensemble=True,1418.9012533669857,7178.891393747095,1,4.0,130.21823843185558
69,MLPClassifier,RTG,0.8133333333333334,"['fires', 'lime'][0.5, 0.5]Ensemble=False",566.2066756584674,6163.521904351457,3,4.566666666666666,12.591936088143848
70,MLPClassifier,RTG,0.8133333333333334,['fires'][1.0]Ensemble=False,43.70117135548969,5966.872511609154,3,10.066666666666666,0.8240715781692416
71,MLPClassifier,RTG,0.8133333333333334,['custom'][1.0]Ensemble=False,121.2944277112025,8582.267037346637,5,9.369047619047619,5.712037692021113
72,MLPClassifier,RBF,1.0,['shap'][1.0]Ensemble=False,8544.077111061639,8394.330990979926,0,0.0,28.45714841914596
73,MLPClassifier,RBF,1.0,['shap'][1.0]Ensemble=True,7242.757018538581,7835.084225484695,2,4.333333333333333,484.7620008873637
74,MLPClassifier,RBF,1.0,"['fires', 'shap'][0.5, 0.5]Ensemble=False",5448.427779728639,6879.98643183887,0,0.0,30.985785668389873
75,MLPClassifier,RBF,1.0,['lime'][1.0]Ensemble=False,1508.1649346460035,7647.677792421612,0,0.0,12.344649288838264
76,MLPClassifier,RBF,1.0,['lime'][1.0]Ensemble=True,290.17605510862086,5043.637891297313,4,5.333333333333333,138.9999411046505
77,MLPClassifier,RBF,1.0,"['fires', 'lime'][0.5, 0.5]Ensemble=False",1128.470298702533,6770.067767621866,1,1.4285714285714286,13.232578912796452
78,MLPClassifier,RBF,1.0,['fires'][1.0]Ensemble=False,109.29177640808331,6259.524431077506,0,0.0,0.9334505422622896
79,MLPClassifier,RBF,1.0,['custom'][1.0]Ensemble=False,34.444163330509596,7625.239761370405,0,0.0,6.048573217599187
80,MLPClassifier,Spambase,0.9266666666666666,['shap'][1.0]Ensemble=False,7283.819419030369,7968.645862451107,6,15.433333333333332,9.101256034168829
